"Task Editor","Submit Task","Shift+Alt+S","In Tasks Editor"
"Text Editing","Copy Lines","Ctrl+D","Editing Text"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"Text Editing","Line Start","Home","Editing Text"
"Source","Quick Assist - Assign to field","Ctrl+2 F","Editing Java Source"
"Edit","Add Maven Plugin","Shift+Ctrl+P","Editing XML Source"
"Navigate","Quick Outline","Ctrl+O","WikiText Markup Source Context"
"Views","Show View (Breakpoints)","Shift+Alt+Q B","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Run/Debug","Step Into Selection","Ctrl+F5","Debugging"
"File","Close","Ctrl+F4","In Windows"
"Window","Show System Menu","Alt+-","In Windows"
"Navigate","Previous Page","Shift+Alt+F7","In Windows"
"Navigate","Last Edit Location","Ctrl+Q","In Windows"
"Run/Debug","Debug Java Applet","Shift+Alt+D A","In Windows"
"Views","Show View (Package Explorer)","Shift+Alt+Q P","In Windows"
"Source","Surround With Quick Menu","Shift+Alt+Z","In Windows"
"Navigate","Open Structure","Ctrl+F3","Editing Java Source"
"Run/Debug","Java Breakpoint Properties","Alt+Enter","In Breakpoints View"
"Source","Add Import","Shift+Ctrl+M","Editing Java Source"
"Run/Debug","Run Gradle Test","Ctrl+Alt+X G","In Windows"
"Edit","Quick Diff Toggle","Shift+Ctrl+Q","Editing Text"
"Source","Toggle Comment","Ctrl+/","Editing Java Source"
"Task Repositories","Mark Task Complete","Shift+Alt+C","In Tasks View"
"Views","Show View","Shift+Alt+Q Q","In Windows"
"Task Repositories","New Subtask","Shift+Insert","In Tasks View"
"Text Editing","To Upper Case","Shift+Ctrl+X","Editing Text"
"Run/Debug","Next Page of Memory","Shift+Ctrl+.","In Table Memory Rendering"
"Source","Remove Block Comment","Shift+Ctrl+\","Editing Java Source"
"Project","Build All","Ctrl+B","In Windows"
"Text Editing","Scroll Line Down","Ctrl+Down","Editing Text"
"Source","Show Source Quick Menu","Shift+Alt+S","In Windows"
"Navigate","Next","Ctrl+.","In Windows"
"Views","Show View (Console)","Shift+Alt+Q C","In Windows"
"Edit","Find and Replace","Ctrl+F","In Windows"
"Navigate","Open Attached Javadoc","Shift+F2","In Windows"
"Text Editing","Scroll Line Up","Ctrl+Up","Editing Text"
"Edit","Context Information","Shift+Ctrl+Space","In Dialogs and Windows"
"Edit","Restore Last Selection","Shift+Alt+Down","Editing in Structured Text Editors"
"Views","Show View (Synchronize)","Shift+Alt+Q Y","In Windows"
"Run/Debug","Run","Ctrl+F11","In Windows"
"Window","Activate Editor","F12","In Windows"
"Views","Show View (Task List)","Shift+Alt+Q K","In Windows"
"Edit","Undo","Ctrl+Z","In Dialogs and Windows"
"Source","Quick Assist - Rename in file","Ctrl+2 R","Editing Java Source"
"Navigate","Previous Sub-Tab","Alt+PageUp","In Dialogs and Windows"
"Navigate","Forward History","Alt+Right","In Windows"
"Task Repositories","Mark Task Read and Go To Previous Unread Task","Shift+Alt+Up","In Tasks View"
"Edit","Toggle Insert Mode","Shift+Ctrl+Insert","Editing Text"
